session_id,visit_timestamp,customer_id,page_visited,session_duration,device_type,traffic_source,conversion
59fa5f4b-b0bd-45ad-bab9-c3f6bb0d1c13,2024-02-01 03:17:18,2e2f89b6-480f-4b6f-adcd-edcf361f6b54,/blog/expedition-stories,13.79,Mobile,Paid,True
1d0dc39f-136f-4188-a796-c50745f3e387,2024-02-01 02:50:52,1de9e3f9-5ac1-484d-8d7a-73ae4c83856f,/signup,44.89,Mobile,Direct,False
eac6eef9-4c21-43a9-9362-90ce677dc6ba,2024-02-01 10:28:49,529263f4-d72b-4603-b53d-2f0a947ea99e,/expeditions/routes,52.3,Tablet,Organic,False
0d9e3666-10cd-411b-bdeb-ed969e3b0b0e,2024-02-01 09:36:01,c892b5f0-f4cc-4412-b88a-b4230459eaec,/contact,29.56,Mobile,Social,True
f2b5c0be-c243-4d12-b51b-a536b6c53436,2024-02-01 11:53:34,ace5e162-91ca-4229-8cbd-4428f72ca5e2,/gear,51.28,Desktop,Paid,False
248e4313-4c26-4d01-8b2e-ee06381b94d2,2024-02-01 02:24:31,ec8a3e9c-fb2a-480c-90f1-9f18e728ead6,/expeditions/rock-climbing,29.68,Desktop,Direct,False
60f0d36e-be9d-42d3-95d5-5e57aee8ab88,2024-02-01 23:47:27,96196f49-644a-468e-9e72-947551459089,/gear/purchase,37.06,Mobile,Social,True
7fb10075-3e75-4f29-8a5c-dea6069a3db8,2024-02-01 01:27:25,bb0ac422-5263-40d0-9306-4cbfe21544bd,/expeditions/routes,1.42,Tablet,Direct,False
3080c41a-1cd1-4170-a647-7b00e107ce4b,2024-02-01 20:09:49,ac5c5b44-3296-4c71-bdf5-1de6b1848b27,/contact,16.51,Tablet,Organic,False
7ad418d7-f277-4e23-8abb-fa0dd735db2f,2024-02-01 15:37:29,4929e820-1bf3-46a5-8757-00252579ac2d,/signup,8.85,Desktop,Social,False
e76e26ec-cf40-4f1a-9c22-12b6d8f6a251,2024-02-01 22:09:14,afdfb87a-f44b-41f0-a758-ae475afb9c06,/about-us,36.3,Tablet,Social,False
1cde4417-c7bb-4c14-aa57-3ede8a55cfa2,2024-02-01 11:51:05,c37bb700-60e1-4474-aff2-cbd496dc4d2e,/gear/purchase,46.85,Desktop,Social,True
35588550-2eed-4680-8ea2-1eb08c486aa8,2024-02-01 01:21:59,5c6f0c1b-6f8f-4415-a71f-418033e0a6e9,/gear,8.79,Mobile,Direct,True
86feef9b-c57f-42d9-a0ea-2d1f1133e546,2024-02-01 23:55:13,71524ad0-5153-45fa-ae69-a9c7045d5c38,/expeditions,37.64,Desktop,Direct,True
2c92fa28-53fc-42a2-bcba-cb3df5c257b3,2024-02-01 19:38:49,af7de468-42b3-40b8-a340-fb118a65a0cc,/gear/purchase,28.99,Desktop,Paid,False
70402051-6397-4947-b147-bb832fe90460,2024-02-01 11:55:50,59fa274b-81a3-4eb4-98a1-3954d9c5d113,/gear,59.57,Mobile,Organic,False
067a93a0-7aff-4a19-bd12-24e7d3649ed5,2024-02-01 10:37:17,6d7d01ec-97c6-419f-a1b8-2ef271435368,/blog,1.15,Desktop,Organic,False
ee87c8f7-7ab2-4ca0-a6eb-b9cd7686b4af,2024-02-01 01:08:10,9b32005d-8c5b-48f0-b5b0-414d89cfb4b4,/expeditions/routes,41.87,Tablet,Organic,False
0d14100f-855e-4bf8-92f0-8fc45b255ece,2024-02-01 01:49:38,c4992ed4-a3ea-4975-bad2-60c0690523dc,/faq,29.54,Mobile,Organic,True
1e4452bf-46f7-4a3b-b9e7-d03e330a7b51,2024-02-01 18:09:47,10062ed4-cfb5-4b13-bd63-dbd7a04ba9d4,/expeditions/mountaineering,30.76,Desktop,Social,False
65edcfa5-75ca-4876-8000-768a9932856e,2024-02-01 17:48:15,6f242e8b-25e7-43b4-af0b-4d9a3b66ddf0,/expeditions/rock-climbing,37.93,Tablet,Direct,True
9f6ef672-7dc8-45f6-828f-dc4b13c9d686,2024-02-01 17:33:19,da725501-7cb1-4380-8c17-307c901a0e28,/faq,7.63,Mobile,Social,True
c532c150-e884-42fb-8c18-cd687cc48e93,2024-02-01 13:37:08,dff6a312-08f6-45bc-b269-c1a3f3e6f335,/gear,59.01,Tablet,Social,False
a95dba76-5737-40be-862a-2b0b51bdf22f,2024-02-01 10:13:34,ed95807c-aa5f-413c-8253-b5d2ad06ac8f,/faq,33.02,Mobile,Paid,True
b56b8e78-10fb-46a9-9d11-ce3ac9cfb230,2024-02-01 05:24:54,da9ea356-6636-401c-85c3-ca79c31a887b,/faq,50.64,Desktop,Social,False
816bf387-4d6e-40d3-a496-f5f4b3b79997,2024-02-01 11:46:49,cbedebd6-a14a-4430-994b-7c1b4493a350,/gear/purchase,53.14,Mobile,Organic,True
b0db5eb1-fa23-470a-8e4e-381a5f35da0f,2024-02-01 05:45:23,ab8d8498-bf85-4e99-a7ff-7b5485ba4b72,/expeditions/mountaineering,2.32,Mobile,Social,False
00b58fed-f9d4-43a8-b827-a834f8067bcf,2024-02-01 03:11:35,aafce7cf-c81d-4960-b08f-7b68180babb4,/about-us,54.21,Tablet,Direct,True
b5a62b74-d7a8-4435-8a95-9cf1a98b7c34,2024-02-01 15:29:44,ae9d15d5-fd81-4ddd-8fb4-24a92e220124,/about-us,3.57,Desktop,Social,False
eaa3ab2f-14a2-484e-a803-7a76858dbbcd,2024-02-01 22:05:48,898ecb79-0b05-45a3-90dd-cc34d21b5ad0,/expeditions/routes,53.46,Tablet,Direct,True
97dce8d3-08b4-4710-9c11-af4a986c7a9e,2024-02-01 14:01:29,b700f78d-b07e-4c76-8159-52e37864c0ad,/gear/purchase,2.86,Tablet,Direct,True
680afeb2-bf9e-44ad-b5b3-79eaad07b263,2024-02-01 19:42:25,6a97314a-cbb8-4e0c-837e-95db2ee3a7f5,/home,14.91,Desktop,Direct,False
a2925c52-8399-4bea-a81d-72d0da11c2df,2024-02-01 17:33:12,6ea1d320-e8a5-4046-b941-d10a2136d6ab,/blog/mountaineering-tips,2.44,Mobile,Organic,True
542f3566-0ebc-4efc-be47-e9521a5cada6,2024-02-01 09:53:01,8bd232c2-8ec5-4534-b28f-c43f524cf510,/faq,20.59,Mobile,Organic,True
dc778c32-12d2-4d81-bec1-1811f2ca2f7c,2024-02-01 03:30:03,64008488-55c4-4f7c-ab47-affa723ab038,/expeditions/mountaineering,32.32,Mobile,Social,False
39693ae6-3ef0-45cb-ad61-64652b8d9602,2024-02-01 19:49:13,2bbe4cb4-467b-4b4f-be23-356ad7dc5a3b,/expeditions,46.98,Tablet,Organic,True
6e4aff05-3f01-41bd-a4b6-b7bec58017ae,2024-02-01 06:51:36,25443b97-1987-4188-a4b2-6a553937bac3,/about-us,2.97,Mobile,Direct,False
ba1c3b95-f73f-4e58-85da-45e7f1d5a356,2024-02-01 20:47:05,8c206e9d-0e99-40d1-9c19-43d901a6f89a,/expeditions/rock-climbing,11.01,Desktop,Paid,False
d773ecd1-3e17-4bdc-9d32-0b92e17bb4fe,2024-02-01 11:34:36,4c7b086a-0dc9-40ab-a1ac-261012183ffe,/about-us,53.16,Desktop,Organic,True
e5e8b4ad-2935-4720-9aa8-2716da738d4f,2024-02-01 18:18:11,fff2b7a7-396a-4ff0-a02f-d69777f6e823,/blog,7.27,Tablet,Direct,True
2a362943-171f-4acf-869d-d626ec71d54a,2024-02-01 13:40:48,70ae3fb2-0731-4fe6-9ae8-86241d567f83,/home,49.02,Desktop,Social,False
adf68553-3080-404a-8758-08251777dbfe,2024-02-01 06:04:26,463d2393-6885-463a-939b-98f74b0824b7,/blog/expedition-stories,48.82,Mobile,Organic,False
