order_id,customer_id,order_date,expedition_id,gear_type,gear_id,gear_purchase_price,order_quantity,order_amount,order_status
3bf0bb0f-5eaa-4cfd-9d75-1b99b69c21c0,8633f36a-e6f3-47bc-a399-01d2180c3068,2024-02-01,69053fca-694f-4642-87fe-f6f428aef736,Otto's Cozy Tent,SKU-001,150.0,10,1500.0,Pending
13377516-2528-4ee4-8a86-ca865beb8eae,e6f47665-b917-410f-8dc5-b1912842dfca,2024-02-01,71a5db83-bc4b-42e8-bc3f-f4e8f4b3fc37,Goat's Secure Harness,SKU-006,90.0,1,90.0,Completed
c7ae0ddf-6a4d-47ea-baab-77232c763219,2200ebe9-a520-49ea-878e-a36a31c3110b,2024-02-02,e04a70b4-4766-4395-846e-a3b0af686997,Goat's Warm Sleeping Bag,SKU-004,120.0,3,360.0,Completed
4da82c0f-2345-4c62-94ff-37302eaa82bf,2fab38c0-fdc0-4276-814d-761ad9c338e7,2024-02-04,6a014153-97fa-4b7d-8700-69cbd504036d,Otto's Adventure Rope,SKU-005,80.0,1,80.0,Completed
82faf7d6-c45d-4400-b828-04eff039907a,814ad36b-a6e1-409c-a4b2-1b95e4a3e820,2024-02-04,532d2ad2-d5bb-430d-8d01-97902308a78d,Goat's Warm Sleeping Bag,SKU-004,120.0,5,600.0,Completed
b1a84946-54d8-4492-9e66-684ec7778f62,0ca6ff03-3bb2-419d-830c-a560d4da8259,2024-02-02,532d2ad2-d5bb-430d-8d01-97902308a78d,Otto's Climbing Crampons,SKU-007,110.0,9,990.0,Canceled
441e26b7-0b75-491b-a5a0-2b5a11aff258,9feaf45a-fb28-48c5-80cc-6dd9003faa40,2024-02-01,22084399-a3c9-4659-8c1a-3ce25c633c9a,Otto's Safety Helmet,SKU-003,50.0,4,200.0,Pending
03853977-323f-4efb-a991-1773ac4170ca,c917efde-3d94-4881-b6ee-23dd4e4eaa56,2024-02-03,22084399-a3c9-4659-8c1a-3ce25c633c9a,Goat's Warm Sleeping Bag,SKU-004,120.0,1,120.0,Pending
cce28105-0f26-4b7c-874c-b8c8d3baf634,1a673396-1c8f-405f-9725-d5463e5b4f5b,2024-02-02,50f82e19-9a27-4d7b-9769-ab5d7dcbc1b3,Goat's Warm Sleeping Bag,SKU-004,120.0,1,120.0,Canceled
a359fc5c-b068-4a22-999f-4db0d1de2a7d,2be8f32c-f077-4f45-8902-05a45e138147,2024-02-03,a28e602f-881e-4fd0-b482-78909d612af5,Otto's Climbing Crampons,SKU-007,110.0,3,330.0,Completed
26cdcd61-2072-4fa0-a7d2-cc7a217f5a21,43cf87ab-d41a-41bd-bbf3-51c666013b28,2024-02-05,77c14840-76d9-4f10-b59e-04257790788a,Otto's Safety Helmet,SKU-003,50.0,6,300.0,Canceled
0a15c0dd-fa4e-4c97-839a-8df6e30e1c56,472116fc-c9cd-4aa6-bf97-09c95151e025,2024-02-04,77c14840-76d9-4f10-b59e-04257790788a,Otto's Cozy Tent,SKU-001,150.0,7,1050.0,Pending
8b2f35bd-1e37-491f-afab-0871eee124bd,6a680ac3-77f7-4d45-973d-821dde1a5fa9,2024-02-02,e95feb8c-f884-4883-8272-8af94b7fb596,Goat's Warm Sleeping Bag,SKU-004,120.0,3,360.0,Pending
1176d85d-af19-406b-bb0f-ff69d00faa9d,22a39440-d94c-4391-a229-8865eac278a4,2024-02-02,e95feb8c-f884-4883-8272-8af94b7fb596,Otto's Adventure Rope,SKU-005,80.0,6,480.0,Canceled
249c4525-6693-4337-8756-9f8c6cb56c17,5fae2f38-9676-4da8-821a-9f03e254cbf1,2024-02-05,29cc2f1a-2465-422b-8847-2868c58617b6,Goat's Secure Harness,SKU-006,90.0,2,180.0,Canceled
216a04d1-a7e7-4118-9058-ced06731f874,db9cc60c-7594-4283-87fc-9502c6eea1a9,2024-02-01,29cc2f1a-2465-422b-8847-2868c58617b6,Otto's Climbing Crampons,SKU-007,110.0,2,220.0,Canceled
ac78fc6a-bc7c-4f8c-94c2-235a1444b0df,634b5e59-2c88-42de-80b9-564550e2c300,2024-02-02,c5fc87e7-cb62-4e0a-a53a-be30798dbf3a,Otto's Climbing Crampons,SKU-007,110.0,5,550.0,Canceled
7ea16b2a-46f9-427f-8a86-9a56af4fb6b6,1a239054-d180-4803-b8d3-edfe63b79814,2024-02-03,d368808a-701f-4253-8133-268bfe89a449,Otto's Cozy Tent,SKU-001,150.0,10,1500.0,Canceled
4bf07d75-3b5e-4a7d-a487-66c57f568a94,4513258a-c9ee-4cb7-8ec4-20608d459b55,2024-02-06,2e4fb62e-12f8-4189-a963-93cf04d93fd6,Otto's Cozy Tent,SKU-001,150.0,3,450.0,Completed
fb2ff381-e5a2-4d1a-b988-70c6f7d57af8,e5649655-3f6c-46ba-b853-a814fa3ad178,2024-02-01,9e42973d-1385-49d2-a0d5-c9fc7921f44f,Otto's Adventure Rope,SKU-005,80.0,8,640.0,Pending
0c17049d-c0ad-4ae0-b3b2-718234a2d74c,f5dbfd22-c7d4-4629-8639-aba274a8c8ab,2024-02-08,3aa457f1-04a7-4acc-8ee2-afc8b69aad3c,Mountain Goat Ice Axe,SKU-002,100.0,9,900.0,Completed
2495c5ba-cace-4e3d-b53d-8423902515bb,96072522-8c3f-445d-8603-a571609637a2,2024-02-02,fce56b57-324e-4ef4-995a-4dc9b52a6fb4,Otto's Climbing Crampons,SKU-007,110.0,3,330.0,Pending
