weather_id,expedition_id,weather_date,temperature,wind_speed,precipitation,visibility,weather_conditions
64a0fbbe-8ef4-4219-a693-a99a84997355,10934394-9908-4a42-9ef7-1c63f17098be,2023-10-04 19:00:12,21.92,87.49,46.91,Foggy,Sunny
c7c2368c-0b0a-4f50-ad33-b24af41b65ef,ec6c516f-7ba9-49f7-9871-2a377de947a9,2023-10-04 19:00:12,-4.59,5.05,51.15,Foggy,Rain
5b822cac-a8b0-4637-9ae7-34eafed1cf42,645a52f8-ea4e-4c39-859c-fe2cc2a5ace4,2023-10-04 19:00:12,10.25,110.26,29.5,Foggy,Sunny
ff9619bc-968e-43ac-bf08-4a39750a2c07,de060e8f-9911-4867-b5ed-e9e0d02ec28a,2023-10-04 19:00:12,15.27,84.08,55.02,Clear,Rain
4c602fda-c148-498b-87d1-0c67544379b8,88ad2655-94cd-4b37-9626-3ae6ec6fd6d0,2023-10-04 19:00:12,-20.42,40.66,20.71,Cloudy,Snow
e80548de-0c25-42ed-96d4-81603cfcdcf7,3a795fdc-7c36-4f0c-97df-845326fc96a4,2023-10-04 19:00:12,-0.78,18.04,28.95,Cloudy,Stormy
babea7e8-5499-49e8-9e31-11c1888ae779,b72d81a1-6df5-4242-abe9-0c4aa1b1d2db,2023-10-04 19:00:12,38.69,121.68,20.77,Cloudy,Sunny
5631d919-66bc-4386-b933-88a3bb6609af,fdd8b090-7742-4c4c-b523-e6bc2edf1517,2023-10-04 19:00:12,-27.65,139.09,74.35,Cloudy,Snow
9f1b6b70-699e-404e-8e65-38e1e5fe9bcc,e9d4f3ba-5909-4c08-82cc-e5f148535bb9,2023-10-04 19:00:12,12.82,132.0,10.43,Foggy,Sunny
d2faf0a0-75a4-4919-bd67-ac5f1f9d5c6b,be55d60a-8b3d-47f3-ae49-18daf0eef4b9,2023-10-04 19:00:12,-6.01,5.06,92.92,Cloudy,Sunny
e993b6d4-e646-4096-ab89-81d46e7a6c37,31870967-281d-4cac-8cb8-349e269765e9,2023-10-04 19:00:12,24.43,137.8,59.66,Cloudy,Stormy
ad86c937-1d47-4e81-8eaf-4dc8c4b61530,77252451-66ed-4d06-a99e-25fc108f6bfe,2023-10-04 19:00:12,6.06,107.13,23.23,Foggy,Snow
986e1233-9e0c-45cd-8449-9e12666f5348,dbc77e50-1cf8-4dd7-8e8a-e2fbe943031b,2023-10-04 19:00:12,-27.22,134.65,34.9,Foggy,Snow
d7f2f98f-08cd-4c54-a41d-9a0d318da51f,a571397e-fbc5-459b-a427-4a4655f07c4e,2023-10-04 19:00:12,35.42,48.96,52.52,Cloudy,Sunny
bb6b621a-4e26-4b6a-91c3-367c559519fe,e58eba52-15cd-4a35-86b4-fc60dd422794,2023-10-05 19:00:12,28.06,104.21,49.44,Cloudy,Snow
d7328066-92dc-4bc3-842d-5aef91d91e43,dde6bf7a-a3b5-43ad-b954-7d56bb1377e7,2023-10-05 19:00:12,-25.37,42.74,71.47,Foggy,Rain
9bba0b45-e633-4d5d-864c-ab1e971ce058,01aa22d5-e759-4a1e-a8a7-c5cb11b27033,2023-10-05 19:00:12,6.93,98.41,49.95,Clear,Stormy
b7cabbec-5c86-42c1-a236-fc28eded0b6a,2fbef2b1-3a80-4b8e-a7e6-c58cbffbe875,2023-10-05 19:00:12,23.37,107.57,20.32,Foggy,Stormy
022a27e1-c5f8-44ff-b9ae-eef34b1efbd5,0bfbf9e2-5faf-4a84-835a-6093c745c31f,2023-10-05 19:00:12,-23.72,141.25,86.74,Foggy,Sunny
