order_id,customer_id,order_date,expedition_id,gear_type,gear_id,gear_purchase_price,order_quantity,order_amount,order_status
979cd594-150e-4dd9-ad93-1e85644c0284,a4e59533-8258-4893-8f25-a9aa14bb6278,2024-01-01,1d59a1f9-3bac-4a76-95c6-b47c0054bc6f,Otto's Cozy Tent,SKU-001,150.0,5,750.0,Completed
ff3e8cec-d15d-4756-8ec4-f309c6c21f19,bcbb60eb-da83-44b2-9002-836dc0436261,2024-01-01,bec63dbc-7732-4e71-b98f-c13a1ca740ad,Otto's Climbing Crampons,SKU-007,110.0,8,880.0,Completed
3a997154-789f-4a80-8398-18eb9088a766,371d19a8-d0b5-4e30-a40d-4f67093caa83,2024-01-01,23c62223-8595-4644-a852-70540d85027b,Mountain Goat Ice Axe,SKU-002,100.0,3,300.0,Canceled
d1e57922-c7b8-4cfd-a348-b5b8cd371a1f,0dc72205-a616-4fa5-8375-3ad83a2c8a0c,2024-01-01,23c62223-8595-4644-a852-70540d85027b,Goat's Warm Sleeping Bag,SKU-004,120.0,4,480.0,Canceled
d3844c87-9090-41e0-bdcb-2795c8315286,c6c72824-8f35-413f-ab6c-bcf3602604ea,2024-01-01,81c9268a-e79f-4436-a66d-ddbdf0e2a726,Otto's Safety Helmet,SKU-003,50.0,7,350.0,Canceled
73e08854-c353-4906-97fd-28d671a54a73,63a9435b-73da-43e5-878f-babae223f254,2024-01-01,6ca8aa4c-2ea8-4dc1-9fa8-9a7af9913a76,Goat's Secure Harness,SKU-006,90.0,2,180.0,Completed
44093792-71b4-434a-9a2e-2fc1d5286b53,8c98080b-bd99-4351-8fe0-0eb2b31a415f,2024-01-03,89b481cb-f611-4480-9420-fef071fe9f5c,Goat's Warm Sleeping Bag,SKU-004,120.0,2,240.0,Completed
a5ad41cd-a3d9-44e6-a9fa-60d1e014e328,af78391b-18fb-49ce-b812-1e9bde92202b,2024-01-03,dd9d840b-a200-44ce-a6cd-529f2e79669b,Otto's Safety Helmet,SKU-003,50.0,3,150.0,Pending
f408edb3-49c3-4eb9-b3e8-4bded0245b9d,83869bc1-cd40-4d43-a2e8-47257623fd7a,2024-01-04,6fb09c63-a6b9-4470-bce5-7b9102123726,Otto's Safety Helmet,SKU-003,50.0,1,50.0,Canceled
40b222b2-aa41-4c8e-a255-18c75b0da392,9682786a-1eff-4cd4-b2ed-8726d4da0de4,2024-01-02,e93df180-f779-439a-96d6-8bdb53ef454f,Mountain Goat Ice Axe,SKU-002,100.0,4,400.0,Completed
952fe3a0-1469-4280-a004-02575e9461a1,e184b806-d7ad-4e3b-9170-2eda5301f336,2024-01-02,c57379d8-5a4d-492d-857e-e5de722e1547,Otto's Cozy Tent,SKU-001,150.0,8,1200.0,Pending
4d033975-df3c-4671-ab9b-dcbcfdb7f84e,257d85fa-7988-4afe-9bcb-1fc7c892009c,2024-01-01,c57379d8-5a4d-492d-857e-e5de722e1547,Otto's Cozy Tent,SKU-001,150.0,8,1200.0,Canceled
ae40d534-23bd-40b5-af8d-d027abd65e1b,2c18d7e0-d9f1-4135-a800-332eaf3b781c,2024-01-03,4f9109f0-c409-4edd-8827-bef4d8123ddb,Otto's Adventure Rope,SKU-005,80.0,1,80.0,Pending
37bfed39-d148-4cf9-b68d-f8f4970c24a1,db2bcd58-0ee4-459e-8206-44407b92f830,2024-01-03,a9f0e0cb-298a-4996-a27a-177f01619abf,Otto's Climbing Crampons,SKU-007,110.0,6,660.0,Completed
daa7faf9-fa0b-4795-baee-d4adbc79db9d,5e82a563-ce77-481d-8a4c-f36b5c8c97cf,2024-01-01,8601b20c-c98e-4fab-a374-fd6cc8f3edd5,Goat's Warm Sleeping Bag,SKU-004,120.0,1,120.0,Completed
5799c8b1-6ebf-4796-9b3f-d32356b07e1d,a2cfb877-d7b8-4425-8fc3-89a54c272407,2024-01-01,8601b20c-c98e-4fab-a374-fd6cc8f3edd5,Goat's Warm Sleeping Bag,SKU-004,120.0,3,360.0,Canceled
435fee66-27a2-4813-b5fe-45ecf36a785b,ab730625-7e99-4f1a-a711-1356375886aa,2024-01-04,a8381181-34ed-47d9-83c6-0c5683bfdc9e,Otto's Safety Helmet,SKU-003,50.0,9,450.0,Canceled
2d183cb6-05a2-4d28-9eec-88b716f370b3,1787625f-d967-46bb-ae7b-6c73d9b83ce4,2024-01-04,a8381181-34ed-47d9-83c6-0c5683bfdc9e,Otto's Cozy Tent,SKU-001,150.0,3,450.0,Pending
60981081-0481-4c8c-abdf-a2fbad632eb1,b7fa42d0-00fe-45b4-b187-7694b9b1b153,2024-01-02,51f9f85e-7264-4148-9d8e-c1ef9d57f8c9,Otto's Adventure Rope,SKU-005,80.0,1,80.0,Canceled
9b376e47-4df4-4f47-b36a-01e467208cdb,f9323a92-7fab-408e-9527-8c8853a9191d,2024-01-02,82365f78-caef-44dd-83ce-e01b7706c531,Otto's Safety Helmet,SKU-003,50.0,6,300.0,Canceled
431c3c7b-7326-4e75-9a74-f35c27e129e3,b1093157-b362-4185-9b52-19755c1863b9,2024-01-03,914c7f7f-e3fd-400c-95ff-49bd495d3bea,Mountain Goat Ice Axe,SKU-002,100.0,7,700.0,Pending
e42f314e-fba1-4dc8-8b15-03b6ac12f86f,30f8d8a7-8ea2-4981-b439-4ae3ddcc1349,2024-01-04,1f8857b3-9e60-4c83-a392-18784617182a,Otto's Safety Helmet,SKU-003,50.0,8,400.0,Pending
64dd0f5c-7f38-4467-a18d-1171f861bba9,1fa3979d-2ed2-4aa6-9b8a-1f17abc39ed1,2024-01-04,1f8857b3-9e60-4c83-a392-18784617182a,Otto's Cozy Tent,SKU-001,150.0,2,300.0,Canceled
d275f361-d12b-46fe-8f86-af7046b9d23d,ffaeb9ac-a17b-4b89-9f46-24d793d74133,2024-01-01,1f8857b3-9e60-4c83-a392-18784617182a,Otto's Climbing Crampons,SKU-007,110.0,9,990.0,Completed
b6b78d70-8ac2-4e2c-a95b-f9752280cbbb,4a0e69bd-6dc4-4d73-b8af-d33448dc64a0,2024-01-04,deba5bcc-1415-4119-9d82-f79f1bf64130,Otto's Climbing Crampons,SKU-007,110.0,3,330.0,Canceled
752b6ee2-b2f9-46cd-946a-0cde0732037a,ad188f0f-e559-46ab-ae5d-8c89a2929d3b,2024-01-06,27dd12a1-f209-472a-b536-3aef705541ca,Otto's Adventure Rope,SKU-005,80.0,5,400.0,Completed
c77df0ff-e7c4-4051-a704-aa1dc8a3f420,940a97b9-c478-4350-9ab8-c6c968a3636c,2024-01-01,27dd12a1-f209-472a-b536-3aef705541ca,Goat's Secure Harness,SKU-006,90.0,8,720.0,Completed
3b7e39b2-46d6-4e77-b3cd-151f7c679341,df5819b8-a8c7-4eb5-bc89-0e6a96786e3c,2024-01-05,27dd12a1-f209-472a-b536-3aef705541ca,Goat's Warm Sleeping Bag,SKU-004,120.0,5,600.0,Completed
